Date,Open,High,Low,Close,Adj Close,Volume
17-06-2003,44.236073,46.114052,44.086121,45.856991,38.038818,64109895
18-06-2003,46.092632,46.092632,45.228619,45.414272,37.671574,36935420
19-06-2003,43.007889,46.55677,43.007889,46.399677,38.488976,50344451
20-06-2003,45.985523,48.234814,45.985523,47.906345,39.738773,98334104
23-06-2003,47.763535,47.763535,46.285427,46.449661,38.530445,31075451
24-06-2003,46.449661,46.878098,45.557083,45.749882,37.949966,45669402
25-06-2003,45.985523,46.985207,45.985523,46.392536,38.483055,40781843
26-06-2003,46.55677,47.399364,46.164036,46.435379,38.5186,51811336
27-06-2003,46.649597,46.842396,45.921257,46.378258,38.471207,32532483
30-06-2003,46.41396,47.156582,46.071209,46.399677,38.488976,39336301
01-07-2003,46.563911,46.899521,46.164036,46.52821,38.5956,41479640
02-07-2003,46.820972,47.699268,46.55677,46.913799,38.915436,53065802
03-07-2003,47.092316,47.906345,46.742428,47.23513,39.181988,57662924
04-07-2003,47.563599,48.170547,47.270832,47.549316,39.442612,41582972
07-07-2003,47.699268,48.199112,46.785271,46.949505,38.945057,28670677
08-07-2003,46.999489,47.270832,46.363976,46.592476,38.648907,24731874
09-07-2003,47.128017,47.128017,46.164036,46.649597,38.696285,21471529
10-07-2003,46.970924,47.927769,46.649597,47.713551,39.57885,29831677
11-07-2003,47.699268,48.199112,47.078033,47.227989,39.176075,28985251
14-07-2003,47.556458,48.627548,47.556458,48.520439,40.248173,45833415
15-07-2003,48.698952,49.25592,47.799236,48.220531,39.999401,42061383
16-07-2003,48.092003,49.470139,47.842079,49.091686,40.722023,39062781
17-07-2003,49.270203,49.541546,47.984894,48.384766,40.135624,40368951
18-07-2003,48.334782,49.984264,47.699268,48.449032,40.188938,39156918
21-07-2003,48.727516,48.770359,47.713551,47.942047,39.768387,32832416
22-07-2003,47.96347,47.96347,47.035191,47.706409,39.572922,36792519
23-07-2003,47.984894,48.056297,46.756706,47.099457,39.069447,31201413
24-07-2003,47.285114,49.413013,46.999489,48.813202,40.491024,39434227
25-07-2003,49.270203,50.127075,48.884609,49.927139,41.415043,56568367
28-07-2003,50.062809,50.605495,49.055984,49.298763,40.893799,33890127
29-07-2003,48.991718,49.84145,48.827484,49.648655,41.184029,35528719
30-07-2003,49.127392,50.491245,47.128017,49.784325,41.296574,34499297
31-07-2003,50.127075,51.676586,49.555828,51.11248,42.3983,112446170
01-08-2003,51.369541,51.369541,50.498386,50.705463,42.060669,37335547
04-08-2003,50.484104,51.083916,50.341293,50.684044,42.042908,25847851
05-08-2003,50.784012,51.983635,49.220219,49.691498,41.219574,56708579
06-08-2003,49.070267,50.898262,49.070267,50.06995,41.533504,60904664
07-08-2003,50.43412,50.983948,49.791466,50.776871,42.119896,39254655
08-08-2003,51.398106,52.047897,50.983948,51.883663,43.038002,50237164
11-08-2003,51.198166,52.126446,51.198166,51.598042,42.801079,32681406
12-08-2003,55.525375,55.525375,50.776871,50.955387,42.267982,26959086
13-08-2003,52.826225,52.826225,50.805431,51.548058,42.759602,31731641
14-08-2003,51.698009,52.190712,51.005371,51.212448,42.481209,33631423
15-08-2003,51.212448,51.212448,51.212448,51.212448,42.481209,0
18-08-2003,51.269573,52.047897,50.698322,51.5909,42.795151,39035794
19-08-2003,51.790836,53.047585,51.505215,52.711975,43.725086,41150803
20-08-2003,53.126129,53.511723,52.490616,52.683414,43.701397,24548970
21-08-2003,53.554569,53.554569,52.719116,52.997601,43.962021,29601662
22-08-2003,53.297504,54.946987,53.126129,54.51141,45.217728,58394171
25-08-2003,55.125504,60.652332,52.42635,54.068691,44.850494,66202048
26-08-2003,54.268627,55.982376,53.997284,55.789577,46.277985,56057150
27-08-2003,55.696751,56.703575,55.696751,56.239437,46.65115,36752957
28-08-2003,56.275139,56.767841,55.482533,56.225155,46.639305,35321461
29-08-2003,56.982059,57.80323,56.232296,57.224842,47.468555,46137009
01-09-2003,56.87495,59.18137,56.87495,58.581554,48.593964,42226390
02-09-2003,59.267056,60.209614,58.788635,59.781178,49.589066,67629671
03-09-2003,59.43129,59.82402,57.988888,58.260227,48.327423,38710416
04-09-2003,58.110275,58.98143,57.853214,58.453026,48.487347,44347610
05-09-2003,58.710087,60.166771,58.710087,59.959694,49.737148,40679526
08-09-2003,60.281021,62.473186,60.281021,62.208984,51.602947,54923136
09-09-2003,62.430344,63.180107,61.709145,62.308952,51.685883,61751258
10-09-2003,62.123299,62.187565,61.494926,62.073315,51.490417,35579842
11-09-2003,60.695175,62.72311,60.695175,61.223583,50.785553,48302020
12-09-2003,61.123611,61.923363,59.409866,59.859726,49.654213,42572523
15-09-2003,59.838303,59.952553,57.360512,57.77467,47.924644,60943638
16-09-2003,57.981747,58.795776,56.210873,58.574417,48.588043,68493547
17-09-2003,59.695492,59.695492,57.431919,58.110275,48.203033,50450703
18-09-2003,58.410183,58.410183,56.075203,56.460796,46.834774,61095971
19-09-2003,56.417953,58.245949,55.982376,57.703262,47.865414,76853850
22-09-2003,58.824337,58.824337,57.139153,57.560448,47.746944,37332130
23-09-2003,57.146294,59.395584,56.803547,58.917164,48.872353,35485880
24-09-2003,59.509834,61.580612,58.874321,61.266426,50.821091,59454213
25-09-2003,61.123611,61.76627,59.409866,59.724052,49.541672,70113927
26-09-2003,60.095367,61.045067,59.552677,60.880833,50.501244,50811232
29-09-2003,72.834213,72.834213,61.08791,62.023331,51.448952,34481519
30-09-2003,62.301815,63.601406,62.123299,63.380047,52.57436,54579860
01-10-2003,62.980171,63.601406,61.844814,62.223267,51.614796,32182765
02-10-2003,62.223267,62.223267,62.223267,62.223267,51.614796,0
03-10-2003,62.694546,64.26548,62.551735,64.058403,53.137062,46468556
06-10-2003,64.051262,65.665039,60.338146,65.336571,54.197308,34182091
07-10-2003,65.407982,65.836418,64.286903,64.522545,53.522068,37921022
08-10-2003,66.407661,66.407661,64.072685,65.015244,53.930767,32240190
09-10-2003,65.550789,66.12204,64.565384,65.000961,53.918926,38078180
10-10-2003,65.436539,67.407349,65.436539,67.250259,55.784744,53664973
13-10-2003,67.243118,69.121094,66.479073,68.699799,56.987148,38941825
14-10-2003,69.263908,69.678062,66.429085,66.871803,55.470806,42510841
15-10-2003,67.000336,68.964005,66.600456,68.357048,56.70282,44794224
16-10-2003,71.106186,71.106186,68.635536,69.770889,57.875633,115440481
17-10-2003,69.54953,70.977654,69.356735,69.913704,57.994095,47086592
20-10-2003,70.406403,70.692032,68.54985,68.806908,57.075993,31368255
21-10-2003,69.263908,69.263908,66.336258,66.864662,55.464882,48265903
22-10-2003,65.729309,67.750099,65.729309,66.96463,55.547802,38642739
23-10-2003,67.093163,67.121727,65.136635,65.522232,54.351322,41169597
24-10-2003,52.840508,67.69297,52.840508,67.214554,55.755112,44073551
27-10-2003,67.835785,67.9786,65.286591,65.550789,54.375008,34888144
28-10-2003,65.693604,67.121727,65.407982,66.307693,55.002872,52004926
29-10-2003,66.728989,67.828644,66.050636,67.464478,55.962429,28272931
30-10-2003,67.200272,68.54985,66.921791,68.128548,56.513294,32918144
31-10-2003,68.54985,69.656639,68.278503,69.470985,57.626854,33041705
03-11-2003,69.542389,71.534622,69.542389,71.13475,59.006966,61407289
04-11-2003,71.705994,72.262962,69.570953,70.192184,58.22509,55196474
05-11-2003,69.54953,70.563499,68.621254,69.77803,57.881546,45562492
06-11-2003,70.263596,71.620308,69.849442,70.384979,58.385021,67150167
07-11-2003,70.484955,70.963371,68.507004,68.856895,57.117451,36515834
10-11-2003,72.834213,72.834213,67.278816,68.971146,57.212234,27614093
11-11-2003,68.571266,69.263908,67.921471,68.642677,56.939766,32006212
12-11-2003,69.977966,70.185043,68.849754,69.128235,57.342518,39699029
13-11-2003,71.391808,71.391808,67.985741,68.242798,56.608051,32120698
14-11-2003,67.30024,67.835785,66.00779,66.393379,55.07394,40967513
17-11-2003,66.714706,68.178535,66.407661,67.828644,56.264511,37004651
18-11-2003,67.500175,68.085709,66.407661,66.550476,55.204262,25975060
19-11-2003,66.286278,66.657585,65.493668,65.922104,54.683014,37133428
20-11-2003,65.993507,66.536194,64.122665,64.37973,53.403603,31607086
21-11-2003,63.722794,65.964943,63.722794,65.615059,54.428329,42254567
24-11-2003,65.957809,66.12204,64.851013,65.10807,54.007771,21984090
25-11-2003,65.122353,66.96463,65.122353,66.700432,55.328655,34631219
26-11-2003,66.700432,66.700432,66.700432,66.700432,55.328655,0
27-11-2003,66.714706,68.59269,66.714706,68.007156,56.412582,50743612
28-11-2003,68.121407,69.963684,68.121407,69.556671,57.697929,37947589
01-12-2003,69.992249,70.663467,69.706627,70.299294,58.313938,28874861
02-12-2003,70.427826,72.120148,69.378159,71.348969,59.184662,43952868
03-12-2003,72.120148,72.120148,70.384979,71.106186,58.983265,58960369
04-12-2003,70.042236,73.048431,70.042236,72.64856,60.262684,90041660
05-12-2003,72.834213,73.119835,70.149345,70.413544,58.408714,41268391
08-12-2003,69.856575,70.584923,68.171394,68.535568,56.85091,56849814
09-12-2003,68.742645,69.742325,68.742645,69.492409,57.644619,39651064
